CHANNEL_0_1
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
20  1546.311217    0.000110  0.000049  ...  0.000012  7.592276e+06  1.734086e+09
21  1546.311346    0.000110  0.000049  ...  0.000012  7.594310e+06  1.734086e+09
22  1546.311235    0.000110  0.000049  ...  0.000012  7.592060e+06  1.734086e+09
23  1546.311266    0.000109  0.000048  ...  0.000012  7.598309e+06  1.734086e+09
24  1546.311007    0.000108  0.000047  ...  0.000012  7.592317e+06  1.734086e+09
25  1546.311109    0.000108  0.000047  ...  0.000012  7.600631e+06  1.734086e+09

[26 rows x 13 columns]
CHANNEL_0_4
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1547.109760    0.000110  0.000033  ...  0.000012  7.966029e+06  1.734086e+09
1   1547.109666    0.000111  0.000034  ...  0.000012  7.956922e+06  1.734086e+09
2   1547.109617    0.000109  0.000033  ...  0.000012  7.968541e+06  1.734086e+09
3   1547.109612    0.000107  0.000032  ...  0.000012  7.973380e+06  1.734086e+09
4   1547.109570    0.000113  0.000035  ...  0.000012  8.044114e+06  1.734086e+09
5   1547.109487    0.000108  0.000032  ...  0.000012  7.981196e+06  1.734086e+09
6   1547.109561    0.000107  0.000031  ...  0.000012  7.975749e+06  1.734087e+09
7   1547.109515    0.000109  0.000033  ...  0.000012  7.960975e+06  1.734087e+09
8   1547.109586    0.000108  0.000032  ...  0.000012  7.938467e+06  1.734087e+09
9   1547.109551    0.000133  0.000047  ...  0.000012  7.688693e+06  1.734087e+09
10  1547.109474    0.000130  0.000045  ...  0.000012  7.714717e+06  1.734087e+09
11  1547.109523    0.000107  0.000032  ...  0.000012  7.975236e+06  1.734087e+09
12  1547.109646    0.000131  0.000046  ...  0.000012  7.711072e+06  1.734086e+09
13  1547.109458    0.000107  0.000032  ...  0.000012  7.980074e+06  1.734087e+09
14  1547.109543    0.000108  0.000032  ...  0.000012  7.976229e+06  1.734087e+09
15  1547.109323    0.000129  0.000044  ...  0.000012  7.726440e+06  1.734087e+09
16  1547.109441    0.000107  0.000031  ...  0.000012  7.981712e+06  1.734087e+09
17  1547.109564    0.000106  0.000031  ...  0.000012  7.993735e+06  1.734087e+09
18  1547.109624    0.000106  0.000031  ...  0.000012  7.977357e+06  1.734087e+09
19  1547.109760    0.000110  0.000033  ...  0.000012  7.927393e+06  1.734086e+09
20  1547.109788    0.000129  0.000044  ...  0.000012  7.714242e+06  1.734086e+09
21  1547.109651    0.000108  0.000032  ...  0.000012  7.968525e+06  1.734086e+09
22  1547.109786    0.000110  0.000034  ...  0.000012  7.963234e+06  1.734086e+09
23  1547.109701    0.000109  0.000033  ...  0.000012  7.910166e+06  1.734086e+09
24  1547.109678    0.000107  0.000032  ...  0.000012  7.969408e+06  1.734086e+09
25  1547.109536    0.000138  0.000050  ...  0.000012  7.686974e+06  1.734086e+09

[26 rows x 13 columns]
CHANNEL_0_5
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1548.089969    0.000104  0.000051  ...  0.000012  7.820868e+06  1.734086e+09
1   1548.090926    0.000112  0.000061  ...  0.000012  7.885245e+06  1.734086e+09
2   1548.090047    0.000086  0.000035  ...  0.000012  7.723947e+06  1.734086e+09
3   1548.090019    0.000084  0.000034  ...  0.000012  7.730237e+06  1.734086e+09
4   1548.089947    0.000084  0.000034  ...  0.000012  7.728625e+06  1.734086e+09
5   1548.090821    0.000110  0.000060  ...  0.000012  7.887450e+06  1.734086e+09
6   1548.089968    0.000085  0.000034  ...  0.000012  7.715702e+06  1.734087e+09
7   1548.089922    0.000084  0.000034  ...  0.000012  7.715307e+06  1.734087e+09
8   1548.090525    0.000108  0.000057  ...  0.000012  7.867874e+06  1.734087e+09
9   1548.090029    0.000092  0.000041  ...  0.000012  7.831552e+06  1.734087e+09
10  1548.089914    0.000098  0.000046  ...  0.000012  7.813572e+06  1.734087e+09
11  1548.089873    0.000085  0.000034  ...  0.000012  7.731839e+06  1.734087e+09
12  1548.090043    0.000099  0.000046  ...  0.000012  7.784163e+06  1.734086e+09
13  1548.089871    0.000086  0.000035  ...  0.000012  7.712055e+06  1.734087e+09
14  1548.089869    0.000084  0.000034  ...  0.000012  7.729781e+06  1.734087e+09
15  1548.089702    0.000086  0.000035  ...  0.000012  7.742739e+06  1.734087e+09
16  1548.089834    0.000084  0.000034  ...  0.000012  7.728777e+06  1.734087e+09
17  1548.089748    0.000156  0.000119  ...  0.000012  8.050717e+06  1.734087e+09
18  1548.089930    0.000094  0.000043  ...  0.000012  7.844655e+06  1.734087e+09
19  1548.090517    0.000106  0.000054  ...  0.000012  7.873885e+06  1.734086e+09
20  1548.090114    0.000085  0.000035  ...  0.000012  7.715572e+06  1.734086e+09
21  1548.090068    0.000085  0.000034  ...  0.000012  7.712163e+06  1.734086e+09
22  1548.089998    0.000085  0.000034  ...  0.000012  7.730142e+06  1.734086e+09
23  1548.090106    0.000101  0.000048  ...  0.000012  7.796744e+06  1.734086e+09
24  1548.090019    0.000096  0.000044  ...  0.000012  7.824862e+06  1.734086e+09
25  1548.090293    0.000101  0.000050  ...  0.000012  7.869391e+06  1.734086e+09

[26 rows x 13 columns]
CHANNEL_0_6
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1549.066762    0.000077  0.000026  ...  0.000012  7.553403e+06  1.734086e+09
1   1549.066829    0.000099  0.000043  ...  0.000012  7.676359e+06  1.734086e+09
2   1549.066818    0.000078  0.000027  ...  0.000012  7.542958e+06  1.734086e+09
3   1549.066831    0.000099  0.000044  ...  0.000012  7.723313e+06  1.734086e+09
4   1549.066756    0.000086  0.000033  ...  0.000012  7.670886e+06  1.734086e+09
5   1549.066783    0.000078  0.000026  ...  0.000012  7.514510e+06  1.734086e+09
6   1549.066726    0.000079  0.000027  ...  0.000012  7.557033e+06  1.734087e+09
7   1549.066739    0.000137  0.000080  ...  0.000012  7.690588e+06  1.734087e+09
8   1549.066720    0.000078  0.000026  ...  0.000012  7.548157e+06  1.734087e+09
9   1549.066688    0.000102  0.000047  ...  0.000012  7.730965e+06  1.734087e+09
10  1549.066667    0.000111  0.000056  ...  0.000012  7.772189e+06  1.734087e+09
11  1549.066698    0.000081  0.000029  ...  0.000012  7.608593e+06  1.734087e+09
